date,open,high,low,close,adj_open,adj_high,adj_low,adj_close,volume,buy_sell
2003/1/2,4460.57,4553.11,4431.19,4524.87,4460.62,4553.16,4431.24,4524.92,3376000,-10821
2003/1/3,4618.24,4641.46,4602.24,4626.32,4618.28,4641.5,4602.28,4626.36,4790000,244251
2003/1/6,4653.99,4710.31,4635.87,4689.86,4654.39,4710.71,4636.27,4690.26,4752000,141384
2003/1/7,4759.81,4776.15,4695.44,4701.08,4760.21,4776.56,4695.84,4701.48,5737000,207553
2003/1/8,4722.99,4859.78,4722.99,4836.93,4723.4,4860.2,4723.4,4837.35,6353000,175082
2003/1/9,4833.55,4867.4,4798.16,4813.73,4834.06,4867.92,4798.67,4814.24,6753000,-19276
2003/1/10,4882.07,4884.64,4827.91,4850.8,4882.58,4885.15,4828.42,4851.31,6199000,126814
2003/1/13,4895.3,5000.14,4895.3,4991.26,4895.82,5000.67,4895.82,4991.79,5900000,328128
2003/1/14,5014.95,5057.21,4985.62,4992.42,5015.48,5057.75,4986.15,4992.95,6836000,141627
2003/1/15,5039.76,5039.76,4952.16,5017.7,5040.29,5040.29,4952.68,5018.23,6449000,59624
2003/1/16,5021.54,5082.39,4943.29,4943.29,5022.07,5082.92,4943.81,4943.81,7568000,180164
2003/1/17,4955.94,4983.81,4897.03,4907.78,4956.47,4984.34,4897.55,4908.3,5793000,-99605
2003/1/20,4875.74,4951.03,4875.74,4951.03,4876.26,4951.56,4876.26,4951.56,4694000,-8479
2003/1/21,4972.85,5031.68,4942.18,4945.87,4973.37,5032.21,4942.7,4946.39,6616000,62237
2003/1/22,4955.71,4993.27,4905.79,4993.27,4956.24,4993.8,4906.31,4993.8,5956000,-10584
2003/1/23,5035.79,5102.77,5035.79,5078.8,5036.33,5103.31,5036.33,5079.34,7715000,69975
2003/1/24,5141.8,5141.8,5053.55,5057.32,5142.35,5142.35,5054.09,5057.86,7049000,49817
2003/1/27,5037.1,5055.31,4942.89,4972.59,5037.64,5055.85,4943.42,4973.12,5828000,-56953
2003/1/28,4949.47,5023.24,4946.94,5015.16,4949.99,5023.77,4947.46,5015.69,4920000,-13028
2003/2/6,4975.65,4975.65,4833.58,4833.58,4976.17,4976.17,4834.09,4834.09,4864000,-30123
2003/2/7,4797.38,4833.84,4641.06,4735.37,4797.89,4834.35,4641.55,4735.87,5144000,-193409
2003/2/10,4696.57,4715.18,4627.53,4643.87,4697.07,4715.68,4628.02,4644.36,3400000,-126687
2003/2/11,4692.82,4704.46,4613.62,4618.98,4693.32,4704.96,4614.11,4619.47,3447000,-166159
2003/2/12,4599.67,4666.21,4592.41,4624.87,4600.16,4666.7,4592.9,4625.36,3606000,-82200
2003/2/13,4616.62,4639.56,4507.96,4507.96,4617.1,4640.04,4508.43,4508.43,3321000,-164278
2003/2/14,4562.24,4569.83,4463.06,4493.99,4562.72,4570.31,4463.53,4494.46,3239000,-159031
2003/2/17,4629.57,4707.73,4613.36,4705.08,4630.06,4708.23,4613.85,4705.58,3526000,41066
2003/2/18,4698.1,4698.1,4595.98,4605.31,4698.6,4698.6,4596.47,4605.8,3624000,-45909
2003/2/19,4670.15,4672.03,4550.83,4550.83,4670.65,4672.53,4551.32,4551.32,3663000,-136065
2003/2/20,4555.65,4606.75,4520.76,4550.7,4556.14,4607.25,4521.25,4551.19,3398000,-111513
2003/2/21,4584.6,4594.67,4538.46,4548.35,4585.08,4595.15,4538.94,4548.83,2697000,-19772
2003/2/24,4585.8,4613.08,4538.55,4609.2,4586.29,4613.57,4539.03,4609.69,2521000,79134
2003/2/25,4559.32,4559.32,4454.35,4454.35,4559.8,4559.8,4454.82,4454.82,2687000,-208103
2003/2/26,4478.14,4495.64,4436.52,4456.69,4478.61,4496.11,4436.99,4457.16,2682000,-87427
2003/2/27,4411.54,4473.53,4385.61,4432.46,4412.01,4474,4386.08,4432.93,2346000,15885
2003/3/3,4483.44,4546.85,4472.17,4526.69,4483.92,4547.33,4472.64,4527.17,2461000,-22857
2003/3/4,4481.55,4515.97,4476.55,4499.69,4482.03,4516.45,4477.03,4500.17,2397000,-68104
2003/3/5,4457.46,4475.97,4411.97,4418.11,4457.93,4476.45,4412.44,4418.58,2583000,-152065
2003/3/6,4443.34,4451.4,4385.58,4397.44,4443.81,4451.88,4386.05,4397.91,2322000,-136500
2003/3/7,4352.73,4403.39,4312.28,4350.59,4353.19,4403.86,4312.74,4351.05,2234000,-84719
2003/3/10,4370.68,4384.64,4308.52,4319.99,4371.15,4385.11,4308.98,4320.45,1828000,-41605
2003/3/11,4272.02,4313.59,4240.6,4260.45,4272.47,4314.05,4241.05,4260.9,2478000,-164490
2003/3/12,4275.58,4328.15,4254.41,4328.15,4276.03,4328.61,4254.86,4328.61,2347000,-100355
2003/3/13,4320.48,4400.83,4298.46,4378.99,4320.93,4401.29,4298.91,4379.45,2736000,36816
2003/3/14,4519.2,4532.97,4469.99,4476.17,4519.67,4533.45,4470.46,4476.64,3586000,245376
2003/3/17,4441.8,4441.8,4357.88,4357.99,4442.27,4442.27,4358.34,4358.45,2018000,21473
2003/3/18,4504.82,4569.12,4488.28,4539.72,4505.3,4569.6,4488.75,4540.2,3412000,308624
2003/3/19,4533.45,4547.85,4495.03,4515.07,4533.93,4548.33,4495.51,4515.55,2720000,176255
2003/3/20,4584.47,4613.69,4505.46,4599.25,4584.96,4614.18,4505.94,4599.74,3683000,251322
2003/3/21,4589.81,4615.84,4565.05,4586.92,4590.3,4616.33,4565.54,4587.41,2732000,91391
2003/3/24,4619.07,4619.98,4568.34,4570.68,4619.56,4620.47,4568.82,4571.16,2073000,28590
2003/3/25,4473.56,4513.83,4473.56,4498.83,4474.03,4514.3,4474.03,4499.3,1730000,-53588
2003/3/26,4533.27,4537,4489.62,4496.05,4533.75,4537.48,4490.1,4496.53,1660000,-29375
2003/3/27,4467.74,4514.24,4467.16,4514.24,4468.22,4514.72,4467.63,4514.72,1753000,-35577
2003/3/28,4513.26,4517.51,4465.28,4477.01,4513.74,4517.99,4465.76,4477.49,1688000,-61033
2003/3/31,4442.1,4442.1,4306.54,4321.22,4442.57,4442.57,4307,4321.68,2047000,-240109
2003/4/1,4275.39,4338.24,4275.39,4337.61,4275.84,4338.7,4275.84,4338.07,1645000,-189795
2003/4/2,4339.16,4351.71,4295.15,4311.56,4339.62,4352.17,4295.61,4312.02,1706000,-92700
2003/4/3,4394.43,4411.07,4357.85,4358.39,4394.9,4411.55,4358.32,4358.86,2051000,-27836
2003/4/4,4343.43,4499.18,4339.2,4499.18,4343.88,4499.65,4339.65,4499.65,2911000,146978
2003/4/7,4505.74,4597.23,4479.12,4575.83,4506.21,4597.71,4479.59,4576.31,3607000,222394
2003/4/8,4559.22,4606.9,4544.83,4552.45,4559.7,4607.39,4545.31,4552.93,3403000,112567
2003/4/9,4539.3,4544.9,4509.3,4537.39,4539.78,4545.38,4509.78,4537.87,2703000,-20287
2003/4/10,4537.15,4597.5,4532.3,4541.36,4537.63,4597.99,4532.78,4541.84,3638000,3101
